DateTime	PRE_CLOSE	OPEN	HIGH	LOW	CLOSE	VOLUME	AMT	DEALNUM	CHG	PCT_CHG	SWING	VWAP	ADJFACTOR	CLOSE2	TURN	FREE_TURN	LASTRADEDAY_S	LAST_TRADE_DAY	REL_IPO_CHG	REL_IPO_PCT_CHG	TRADE_STATUS	SUSP_DAYS	SUSP_REASON	MAXUPORDOWN	OPEN3	HIGH3	LOW3	CLOSE3
2015-01-05	15.839999999999998	15.99	16.28	15.6	16.02	286043643.0	4565387846.400001	92478.0	0.1800000000000015	1.1363636255264282	4.292929292929303	15.960459035266869	71.053697	16.02	2.9079192177032445	5.765744048102093	2015-01-05 00:00:00.005000	2015-01-05 00:00:00.005000	-23.98	2745.70056485	交易	0		0	15.99	16.28	15.6	16.02
2015-01-06	16.02	15.85	16.39	15.55	15.78	216642140.0	3453446167.7000003	80325.0	-0.2400000000000002	-1.4981273412704468	5.243445692883894	15.940786809528378	71.053697	15.78	2.2023836490935644	4.366827090344043	2015-01-06 00:00:00.005000	2015-01-06 00:00:00.005000	-24.22	2703.06834665	交易	0		0	15.85	16.39	15.55	15.78
2015-01-07	15.78	15.56	15.83	15.3	15.48	170012067.0	2634796408.7999997	72697.0	-0.29999999999999893	-1.9011406898498535	3.358681875792138	15.49770234132851	71.053697	15.48	1.7283424014801532	3.4269108487434004	2015-01-07 00:00:00.005000	2015-01-07 00:00:00.005000	-24.52	2649.7780739	交易	0		0	15.56	15.83	15.3	15.48
2015-01-08	15.48	15.5	15.57	14.9	14.96	140771421.0	2128003431.7	68734.0	-0.5199999999999996	-3.359173059463501	4.328165374677002	15.116729067471729	71.053697	14.96	1.4310820409642666	2.8375109974865755	2015-01-08 00:00:00.005000	2015-01-08 00:00:00.005000	-25.04	2557.4082678000004	交易	0		0	15.5	15.57	14.9	14.96
2015-01-09	14.96	14.9	15.87	14.71	15.08	250850023.0	3835378099.8999996	99882.0	0.11999999999999922	0.8021390438079834	7.754010695187154	15.289526602515	71.053697	15.08	2.5501409330149	5.056350883765394	2015-01-09 00:00:00.005000	2015-01-09 00:00:00.005000	-24.92	2578.7243769	交易	0		0	14.9	15.87	14.71	15.08
2015-01-12	15.080000000000002	14.87	15.05	14.5	14.77	155329086.0	2293104602.0	64376.0	-0.3100000000000023	-2.0557029247283936	3.64721485411141	14.762879645091068	71.053697	14.77	1.5790752400943235	3.130947934059272	2015-01-12 00:00:00.005000	2015-01-12 00:00:00.005000	-25.23	2523.657761725	交易	0		0	14.87	15.05	14.5	14.77
2015-01-13	14.77	14.65	14.9	14.61	14.68	81687477.0	1204987148.8999999	34924.0	-0.08999999999999986	-0.6093432903289795	1.9634394041977046	14.751185777227516	71.053697	14.68	0.830434760663399	1.6465637179611314	2015-01-13 00:00:00.005000	2015-01-13 00:00:00.005000	-25.32	2507.6706799	交易	0		0	14.65	14.9	14.61	14.68
2015-01-14	14.68	14.78	15.2	14.7	14.81	126302963.99999999	1889296679.4	50675.0	0.13000000000000078	0.8855586051940918	3.4059945504087197	14.958450851557215	71.053697	14.81	1.283995730219675	2.5458722148237105	2015-01-14 00:00:00.005000	2015-01-14 00:00:00.005000	-25.189999999999998	2530.7631314249998	交易	0		0	14.78	15.2	14.7	14.81
2015-01-15	14.81	14.85	15.35	14.71	15.35	124217032.0	1868795909.7	54470.0	0.5399999999999991	3.6461849212646484	4.321404456448337	15.044602818235104	71.053697	15.35	1.262790148840535	2.5038263581578954	2015-01-15 00:00:00.005000	2015-01-15 00:00:00.005000	-24.65	2626.685622375	交易	0		0	14.85	15.35	14.71	15.35
2015-01-16	15.35	15.4	15.62	15.18	15.37	155584633.0	2403346194.6	60637.0	0.019999999999999574	0.13029316067695618	2.8664495114006483	15.447195190543013	71.053697	15.37	1.5816731304880158	3.136098961289968	2015-01-16 00:00:00.005000	2015-01-16 00:00:00.005000	-24.630000000000003	2630.2383072250004	交易	0		0	15.4	15.62	15.18	15.37
